 72.5         2.50PB         1             8            1.33          1.21          7.92          10.63         4.49          -35.30        0             0             0
 72.5         2.50PB         1             10           1.43          1.21          10.81         10.63         7.23          -44.18        0             0             0
 72.5         2.50PB         1             12           1.62          1.21          14.97         10.63         12.53         -54.50        0             0             0
 75           5.00PB         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 75           5.00PB         1             2            1.24          1.21          2.66          10.63         1.70          -10.54        28            33            48
 75           5.00PB         1             4            1.30          1.21          3.97          10.63         3.67          -18.59        20            33            59
 75           5.00PB         1             6            1.40          1.21          5.75          10.63         6.60          -27.08        0             0             0
 75           5.00PB         1             8            1.56          1.21          8.00          10.63         10.90         -35.57        0             0             0
 75           5.00PB         1             10           1.79          1.21          10.91         10.63         16.79         -44.46        0             0             0
 75           5.00PB         1             12           2.02          1.21          14.05         10.63         22.33         -52.42        0             0             0
 75           5.00PB         1             14           2.26          1.21          16.70         10.63         27.48         -58.24        0             0             0
 75           5.00PB         1             16           2.57          1.21          20.42         10.63         33.64         -65.47        0             0             0
 77.5         7.50PB         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 77.5         7.50PB         1             2            1.33          1.21          2.69          10.63         4.57          -10.78        33            32            49
 77.5         7.50PB         1             4            1.48          1.21          3.95          10.63         8.86          -18.51        31            31            59
 77.5         7.50PB         1             6            1.70          1.21          5.60          10.63         14.66         -26.44        29            29            69
 77.5         7.50PB         1             8            1.99          1.21          7.41          10.63         21.48         -33.53        29            25            79
 77.5         7.50PB         1             10           2.30          1.21          9.23          10.63         28.29         -39.56        31            21            88
 77.5         7.50PB         1             12           2.65          1.21          11.19         10.63         35.31         -45.22        33            13            96
 77.5         7.50PB         1             14           3.06          1.21          13.32         10.63         42.57         -50.68        0             0             0
 77.5         7.50PB         1             16           3.57          1.21          15.98         10.63         50.92         -56.71        0             0             0
 80           10.00PB        1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 80           10.00PB        1             2            1.42          1.21          2.68          10.63         7.10          -10.66        36            31            49
 80           10.00PB        1             4            1.63          1.21          3.78          10.63         12.75         -17.57        38            29            57
 80           10.00PB        1             6            1.89          1.21          5.14          10.63         19.15         -24.39        39            25            67
 80           10.00PB        1             8            2.16          1.21          6.49          10.63         25.32         -30.08        42            21            74
 80           10.00PB        1             10           2.49          1.21          8.06          10.63         32.23         -35.77        45            14            82
